rank,account_id,name,website,street,city,region,postal_code,country,phone,employees,size_band,categories,sources,signals,score,region_status,tech_status,tech_detected,fit,fit_score,what_they_do
11,arva-ai,Arva AI,https://www.arva.ai,,New York City,NY,,US,,20,20-99,B2B; B2B; Fintech; B2B; Compliance; Regtech; AI,yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
12,ashbyhq-com,Ashby,https://www.ashbyhq.com,,San Francisco,CA,,US,,110,100-249,B2B; B2B; Recruiting and Talent; Human Resources; B2B; Recruiting,yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
13,assemblyai-com,AssemblyAI,https://www.assemblyai.com,,New York City,NY,,US,,65,20-99,B2B; B2B; Infrastructure; Artificial Intelligence; Developer Tools; Speech Recognition; API; AI,yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
14,athenahq-ai,AthenaHQ,https://www.athenahq.ai,,San Francisco,CA,,US,,12,under 20,B2B; B2B; Marketing,yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
15,atomicvest-com,Atomic,https://www.atomicvest.com/,,San Francisco,CA,,US,,25,20-99,B2B; B2B; Retail; Artificial Intelligence; Fintech,yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
16,getauctor-com,Auctor,https://getauctor.com,,New York City,NY,,US,,30,20-99,B2B; B2B; Generative AI; SaaS; Productivity,yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
17,besimple-ai,Besimple AI,https://besimple.ai,,San Francisco,CA,,US,,10,under 20,B2B; B2B; AIOps; Data Labeling; AI,yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
18,bik-ai,Bik,https://bik.ai/,,San Francisco,CA,,US,,55,20-99,B2B; B2B; Retail; SaaS; B2B; E-commerce; AI; AI Assistant,yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
19,bland-com,Bland AI,https://bland.com,,San Francisco,CA,,US,,65,20-99,B2B; B2B; Infrastructure,yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
20,blaxel-ai,Blaxel,https://blaxel.ai,,San Francisco,CA,,US,,12,under 20,B2B; B2B; Artificial Intelligence; Developer Tools; Cloud Computing; Infrastructure,yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
21,getbluejay-ai,Bluejay,https://getbluejay.ai/,,San Francisco,CA,,US,,10,under 20,B2B; B2B; AI,yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
22,broccoli-com,Broccoli AI,https://www.broccoli.com/,,San Francisco,CA,,US,,85,20-99,"B2B; B2B; Engineering, Product and Design; Artificial Intelligence; Home Services; AI; AI Assistant",yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
23,buildbuddy-io,BuildBuddy,https://buildbuddy.io,,San Francisco,CA,,US,,15,under 20,B2B; B2B; Infrastructure; Developer Tools; SaaS,yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
24,calltree-ai,Calltree,https://calltree.ai,,San Francisco,CA,,US,,14,under 20,B2B; B2B; Generative AI; SaaS; B2B; Customer Service; AI,yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
25,capitol-ai,Capitol AI,https://www.capitol.ai/,,Washington,DC,,US,,11,under 20,B2B; B2B; Productivity; AI-Enhanced Learning; Workflow Automation; Analytics; Media; AI,yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
26,joincarma-com,Carma,https://www.joincarma.com/,,San Francisco,CA,,US,,15,under 20,B2B; B2B; Operations; B2B; Workflow Automation; Compliance; AI; Automotive,yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
27,castle-io,Castle,https://castle.io,,San Francisco,CA,,US,,20,20-99,B2B; B2B; Security; Developer Tools; SaaS; Security; Fraud Detection,yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
28,cinder-ai,Cinder,https://cinder.ai,,New York City,NY,,US,,30,20-99,B2B; B2B; Security; SaaS; B2B; Compliance; Trust & Safety; AI,yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
29,trycoast-com,Coast,https://trycoast.com,,New York City,NY,,US,,35,20-99,B2B; B2B; SaaS; B2B; Sales; Sales Enablement; API,yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
30,cogram-com,Cogram,https://cogram.com,,New York City,NY,,US,,15,under 20,B2B; B2B; Productivity; B2B; AI,yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
31,concourse-ai,Concourse,https://concourse.ai/,,New York City,NY,,US,,15,under 20,B2B; B2B; Finance and Accounting; Artificial Intelligence; Fintech; SaaS; B2B; AI,yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
32,contrario-ai,Contrario,https://contrario.ai,,San Francisco,CA,,US,,20,20-99,B2B; B2B; Recruiting and Talent; SaaS; Recruiting; AI,yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
33,coval-dev,Coval,https://coval.dev,,San Francisco,CA,,US,,10,under 20,"B2B; B2B; Engineering, Product and Design; Artificial Intelligence; Developer Tools; SaaS; B2B; Monitoring",yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
34,credal-ai,Credal.ai,https://credal.ai,,New York City,NY,,US,,14,under 20,B2B; B2B; Productivity; Artificial Intelligence; Generative AI; Cybersecurity; Enterprise,yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
35,ctgt-ai,Ctgt,https://www.ctgt.ai/,,San Francisco,CA,,US,,10,under 20,B2B; B2B; Infrastructure; B2B; Enterprise; AI,yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
36,dartai-com,Dart,https://www.dartai.com,,San Francisco,CA,,US,,10,under 20,B2B; B2B; Productivity; Artificial Intelligence; Generative AI; B2B; Productivity; AI,yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
37,datafold-com,Datafold,https://datafold.com,,New York City,NY,,US,,30,20-99,B2B; B2B; Analytics; SaaS; Analytics; Data Engineering; AI,yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
38,withdavid-ai,David AI,https://www.withdavid.ai/,,San Francisco,CA,,US,,10,under 20,B2B; B2B,yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
39,diode-computer,"Diode Computers, Inc.",https://diode.computer,,New York City,NY,,US,,10,under 20,"B2B; B2B; Engineering, Product and Design; Hardware; Manufacturing; Electronics",yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
40,domu-ai,Domu Technology Inc.,https://www.domu.ai/,,San Francisco,CA,,US,,50,20-99,"B2B; B2B; Engineering, Product and Design; AIOps; Artificial Intelligence; Call Center; AI Assistant",yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
41,doola-com,doola,https://www.doola.com/,,New York City,NY,,US,,43,20-99,B2B; B2B; Productivity; Fintech; SaaS,yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
42,doppler-com,Doppler,https://doppler.com,,Austin,TX,,US,,25,20-99,"B2B; B2B; Engineering, Product and Design; Developer Tools; DevSecOps; Security",yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
43,drillbit-com,Drillbit,https://www.drillbit.com,,Austin,TX,,US,,12,under 20,B2B; B2B; Operations; Artificial Intelligence; Home Services,yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
44,dynamo-ai,Dynamo AI,https://dynamo.ai,,San Francisco,CA,,US,,40,20-99,B2B; B2B; Machine Learning; Privacy; Data Engineering,yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
45,entangl-com,Entangl,https://www.entangl.com/,,San Francisco,CA,,US,,15,under 20,"B2B; B2B; Engineering, Product and Design; Artificial Intelligence; Aerospace; Enterprise Software; Automation; Automotive",yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
46,f2-ai,F2,http://f2.ai,,New York City,NY,,US,,15,under 20,"B2B; B2B; Engineering, Product and Design; AI",yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
47,tryfinch-com,Finch,https://tryfinch.com,,San Francisco,CA,,US,,73,20-99,"B2B; B2B; Engineering, Product and Design; Fintech; HR Tech; API",yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
48,shopgarage-com,Garage,https://www.shopgarage.com/,,New York City,NY,,US,,35,20-99,B2B; B2B; Artificial Intelligence; Marketplace; Industrial,yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
49,getasap-us,Getasap,https://www.getasap.us,,San Francisco,CA,,US,,30,20-99,B2B; B2B; Supply Chain and Logistics; B2B; Logistics; Supply Chain,yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
50,giga-ai,Giga,https://giga.ai/,,San Francisco,CA,,US,,30,20-99,"B2B; B2B; Engineering, Product and Design; Artificial Intelligence; AI",yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
51,godela-ai,Godela,http://godela.ai,,San Francisco,CA,,US,,10,under 20,"B2B; B2B; Engineering, Product and Design; Artificial Intelligence; Hard Tech; Hardware; Aerospace; ML",yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
52,hammr-com,Hammr,https://www.hammr.com,,San Francisco,CA,,US,,10,under 20,B2B; B2B; Human Resources; HR Tech; Payroll,yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
53,hokali-com,Hokali,https://www.hokali.com/,,San Francisco,CA,,US,,12,under 20,B2B; B2B; Marketing; Marketplace; Edtech,yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
54,hotglue-com,hotglue,https://hotglue.com,,Washington,DC,,US,,13,under 20,"B2B; B2B; Engineering, Product and Design; Developer Tools; SaaS; B2B",yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
55,idler-ai,idler,https://idler.ai/,,San Francisco,CA,,US,,12,under 20,"B2B; B2B; Engineering, Product and Design; Reinforcement Learning",yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
56,infisical-com,Infisical,https://infisical.com,,San Francisco,CA,,US,,50,20-99,B2B; B2B; Security; Developer Tools; SaaS; B2B; Security; Open Source,yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
57,intryc-com,Intryc,https://intryc.com,,San Francisco,CA,,US,,12,under 20,B2B; B2B; Operations; Customer Success; Analytics; Customer Support; Operations,yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
58,juicebox-ai,Juicebox,https://juicebox.ai/,,San Francisco,CA,,US,,65,20-99,B2B; B2B; Recruiting and Talent; Generative AI; B2B; Recruiting; HR Tech; AI,yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
59,kastle-ai,Kastle,https://kastle.ai/,,San Francisco,CA,,US,,15,under 20,B2B; B2B,yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
60,kinter-ai,Kinter,https://kinter.ai,,San Francisco,CA,,US,,30,20-99,B2B; B2B; Finance and Accounting; SaaS; Finance; AI,yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
61,kobaltlabs-com,Kobalt Labs,https://www.kobaltlabs.com/,,New York City,NY,,US,,12,under 20,B2B; B2B; Operations; Banking as a Service; Fintech,yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
62,getlago-com,Lago,https://www.getlago.com/,,San Francisco,CA,,US,,27,20-99,B2B; B2B; Finance and Accounting; FinOps; Fintech; SaaS; Open Source; Billing,yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
63,lance-live,Lance,https://www.lance.live,,San Francisco,CA,,US,,10,under 20,B2B; B2B,yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
64,uselayerup-com,Layerup,https://www.uselayerup.com/,,San Francisco,CA,,US,,11,under 20,B2B; B2B; Generative AI; B2B; Enterprise; AI,yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
65,laylo-com,Laylo,https://laylo.com,,Los Angeles,CA,,US,,24,20-99,B2B; B2B; Marketing; SaaS; Messaging; Enterprise; CRM; Creator Economy,yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
66,luminai-com,Luminai,https://www.luminai.com,,San Francisco,CA,,US,,50,20-99,"B2B; B2B; Engineering, Product and Design; SaaS; B2B; Enterprise",yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
67,mach9-ai,Mach9,https://www.mach9.ai/,,San Francisco,CA,,US,,25,20-99,"B2B; B2B; Engineering, Product and Design; Machine Learning; Computer Vision; Design Tools; Infrastructure; AI",yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
68,maintouch-com,Maintouch,https://maintouch.com/?utm_source=bookface&utm_medium=social&utm_campaign=profile,,New York City,NY,,US,,15,under 20,B2B; B2B; Marketing,yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
69,mashgin-com,Mashgin,http://mashgin.com,,San Francisco,CA,,US,,150,100-249,B2B; B2B; Retail; Artificial Intelligence; Cashierless Checkout; Deep Learning; Hardware; Computer Vision,yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
70,bymason-com,Mason,http://www.bymason.com,,Seattle,WA,,US,,65,20-99,B2B; B2B; Hardware; SaaS; Logistics,yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
71,mavenbio-com,Maven Bio,https://mavenbio.com,,Boston,MA,,US,,10,under 20,B2B; B2B; Generative AI; Biotech; Healthcare; Enterprise; Healthcare IT,yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
72,merlinai-co,Merlin AI,https://www.merlinai.co,,Los Angeles,CA,,US,,19,under 20,B2B; B2B; SaaS; Construction; B2B; Enterprise Software; AI,yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
73,metal-ai,Metal,https://metal.ai/,,New York City,NY,,US,,17,under 20,B2B; B2B; Finance and Accounting; Fintech; SaaS; Finance; Investing; AI,yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
74,mintlify-com,Mintlify,https://mintlify.com,,San Francisco,CA,,US,,75,20-99,"B2B; B2B; Engineering, Product and Design; Developer Tools",yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
75,usemotion-com,Motion,https://www.usemotion.com/,,San Francisco,CA,,US,,65,20-99,B2B; B2B; Productivity; Artificial Intelligence; SaaS; B2B; Productivity; AI,yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
76,usenash-com,Nash,https://www.usenash.com/,,San Francisco,CA,,US,,40,20-99,B2B; B2B; Supply Chain and Logistics; Marketplace; SaaS; B2B; Delivery; Logistics,yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
77,nologo-com,No Logo,https://nologo.com/,,New York City,NY,,US,,15,under 20,B2B; B2B; Supply Chain and Logistics; Consumer; Manufacturing; E-commerce; Supply Chain; AI,yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
78,offdeal-io,OffDeal,https://offdeal.io,,New York City,NY,,US,,15,under 20,B2B; B2B; Artificial Intelligence; Fintech; B2B; SMB,yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
79,useoffstream-com,Offstream,https://www.useoffstream.com/,,Denver,CO,,US,,10,under 20,B2B; B2B,yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
80,open-cx,Open,https://open.cx,,San Francisco,CA,,US,,21,20-99,"B2B; B2B; Engineering, Product and Design; Generative AI; Customer Service; Customer Support; Conversational AI; AI Assistant",yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
81,outset-ai,Outset,https://outset.ai/,,San Francisco,CA,,US,,30,20-99,B2B; B2B; Analytics; SaaS; B2B; Market Research; Enterprise Software; AI,yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
82,padlet-com,Padlet,https://padlet.com,,San Francisco,CA,,US,,65,20-99,B2B; B2B; Productivity; Education; SaaS,yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
83,paxai-com,Pax,https://paxai.com/,,San Francisco,CA,,US,,10,under 20,B2B; B2B; Supply Chain and Logistics,yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
84,popl-co,Popl,https://popl.co/,,New York City,NY,,US,,60,20-99,B2B; B2B; Artificial Intelligence; SaaS; B2B; Emerging Markets; AI,yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
85,posthog-com,PostHog,https://www.posthog.com,,San Francisco,CA,,US,,150,100-249,B2B; B2B; Analytics; Developer Tools; B2B; Open Source,yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
86,prosights-co,ProSights,https://prosights.co/,,New York City,NY,,US,,14,under 20,B2B; B2B; Operations; Artificial Intelligence; Fintech; Analytics; Enterprise Software; Investments,yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
87,runpulse-com,Pulse,https://www.runpulse.com/,,San Francisco,CA,,US,,22,20-99,B2B; B2B; Infrastructure,yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
88,qualgent-ai,QualGent,https://www.qualgent.ai,,San Francisco,CA,,US,,10,under 20,B2B; B2B; Artificial Intelligence; B2B; AI,yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
89,quindar-space,Quindar,https://www.quindar.space,,Denver,CO,,US,,57,20-99,B2B; B2B; SaaS; Space Exploration; Satellites; Aerospace,yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
90,goradar-com,Radar,https://goradar.com,,New York City,NY,,US,,120,100-249,B2B; B2B; Retail; Retail Tech; AI,yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
91,reacherapp-com,Reacher,https://reacherapp.com/,,San Francisco,CA,,US,,10,under 20,B2B; B2B; Artificial Intelligence; B2B; E-commerce; Creator Economy,yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
92,recall-ai,Recall.ai,https://www.recall.ai,,San Francisco,CA,,US,,30,20-99,B2B; B2B; Infrastructure; Artificial Intelligence; API,yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
93,reducto-ai,Reducto,https://reducto.ai,,San Francisco,CA,,US,,30,20-99,"B2B; B2B; Engineering, Product and Design; Documents; Data Engineering; Enterprise Software; Search; AI",yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
94,reflex-dev,Reflex,https://reflex.dev,,San Francisco,CA,,US,,10,under 20,B2B; B2B; Infrastructure; Artificial Intelligence; Developer Tools; Open Source; Web Development; Infrastructure,yc_directory,Hiring (YC directory),6,in,chat=absent,scheduler:default,,,
95,replit-com,Replit,https://replit.com,,San Francisco,CA,,US,,65,20-99,"B2B; B2B; Engineering, Product and Design; Developer Tools; Collaboration",yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
96,respan-ai,Respan,https://respan.ai,,San Francisco,CA,,US,,23,20-99,B2B; B2B; Infrastructure; AIOps; Developer Tools; SaaS; Monitoring; AI,yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
97,retailreadyai-com,RetailReady,https://www.retailreadyai.com/,,San Francisco,CA,,US,,12,under 20,B2B; B2B; Supply Chain and Logistics; B2B; Compliance; Logistics; Supply Chain; AI,yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
98,ridecell-com,Ridecell,https://www.ridecell.com,,San Francisco,CA,,US,,88,20-99,B2B; B2B; SaaS; IoT; B2B; Enterprise; AI,yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
99,rootly-com,Rootly,https://rootly.com,,San Francisco,CA,,US,,75,20-99,B2B; B2B; Infrastructure; AIOps; Developer Tools; SaaS; B2B; Security,yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
100,runway-team,Runway,https://runway.team,,New York City,NY,,US,,20,20-99,"B2B; B2B; Engineering, Product and Design; SaaS; B2B",yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
101,salespatriot-com,SalesPatriot,https://www.salespatriot.com/,,San Francisco,CA,,US,,15,under 20,B2B; B2B; Operations; SaaS; B2B; Sales; AI; Industrial,yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
102,trysalient-com,Salient,https://www.trysalient.com,,San Francisco,CA,,US,,40,20-99,B2B; B2B; Fintech; Generative AI; B2B; Operations; AI,yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
103,seam-co,Seam,https://seam.co,,San Francisco,CA,,US,,25,20-99,"B2B; B2B; Engineering, Product and Design; Developer Tools; IoT; API",yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
104,usesimple-ai,Simple AI,https://www.usesimple.ai,,San Francisco,CA,,US,,11,under 20,B2B; B2B; Sales; Artificial Intelligence; Sales; Call Center; Operations; AI,yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
105,sixtyfour-ai,Sixtyfour,https://www.sixtyfour.ai/,,San Francisco,CA,,US,,12,under 20,B2B; B2B; Infrastructure; B2B; Enterprise Software; Infrastructure; AI,yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
106,skyvern-com,Skyvern,https://www.skyvern.com/,,San Francisco,CA,,US,,10,under 20,B2B; B2B; Infrastructure; Artificial Intelligence; Robotic Process Automation; Workflow Automation; Open Source; API,yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
107,sortingrobotics-com,Sorting Robotics,https://www.sortingrobotics.com/,,Los Angeles,CA,,US,,12,under 20,B2B; B2B; Supply Chain and Logistics; Robotic Process Automation; Robotics; Computer Vision,yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
108,sourcify-com,Sourcify,https://www.sourcify.com/,,Salt Lake City,UT,,US,,15,under 20,B2B; B2B; Retail; Manufacturing; Supply Chain,yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
109,supertokens-com,SuperTokens,https://supertokens.com,,San Francisco,CA,,US,,10,under 20,B2B; B2B; Security; Developer Tools; SaaS; B2B; Open Source,yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
110,svix-com,Svix,https://www.svix.com,,San Francisco,CA,,US,,12,under 20,B2B; B2B; Infrastructure; Developer Tools; Open Source; API,yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
111,sync-so,sync.,https://sync.so/,,San Francisco,CA,,US,,13,under 20,B2B; B2B,yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
112,tandemspace-com,Tandem,https://tandemspace.com/,,San Francisco,CA,,US,,22,20-99,B2B; B2B; Office Management; Real Estate; B2B; Proptech,yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
113,tryterra-co,Terra API,http://tryterra.co,,San Francisco,CA,,US,,25,20-99,"B2B; B2B; Engineering, Product and Design; SaaS; B2B; Digital Health",yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
114,thundercompute-com,Thunder Compute,https://www.thundercompute.com,,San Francisco,CA,,US,,10,under 20,B2B; B2B; Infrastructure; Artificial Intelligence; Developer Tools; Data Science; Cloud Computing; Infrastructure,yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
115,truewind-ai,Truewind,https://truewind.ai,,San Francisco,CA,,US,,30,20-99,B2B; B2B; Finance and Accounting; Fintech; Generative AI; SaaS; B2B; AI,yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
116,ubicloud-com,Ubicloud,https://www.ubicloud.com,,San Francisco,CA,,US,,15,under 20,B2B; B2B; Infrastructure; Cloud Computing; Infrastructure; AI; Databases,yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
117,uplane-com,Uplane,https://uplane.com,,San Francisco,CA,,US,,22,20-99,B2B; B2B; Marketing; SaaS; B2B; Analytics; Advertising; AI,yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
118,variance-com,Variance,https://www.variance.com/,,San Francisco,CA,,US,,12,under 20,B2B; B2B; Security; Compliance; Cybersecurity; Enterprise Software; AI,yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
119,vectorshift-ai,VectorShift,https://www.vectorshift.ai,,New York City,NY,,US,,30,20-99,B2B; B2B; Finance and Accounting; Artificial Intelligence; Generative AI; Finance,yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
120,volantio-com,Volantio,http://www.volantio.com,,Atlanta,GA,,US,,19,under 20,B2B; B2B; Marketing; Airlines,yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
121,vooma-ai,Vooma,https://www.vooma.ai,,San Francisco,CA,,US,,40,20-99,B2B; B2B; Supply Chain and Logistics,yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
122,vulcan-ai,Vulcan Technologies,https://vulcan.ai/,,Austin,TX,,US,,17,under 20,B2B; B2B; Legal,yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
123,wasmer-io,Wasmer,https://wasmer.io,,San Francisco,CA,,US,,11,under 20,B2B; B2B; Infrastructure; Developer Tools; Open Source,yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
124,you-shift-com,YouShift,https://www.you-shift.com/,,New York City,NY,,US,,10,under 20,B2B; B2B; Human Resources; Artificial Intelligence; Health Tech; Healthcare; HR Tech; Operations,yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
125,getzep-com,Zep AI,https://www.getzep.com/,,San Francisco,CA,,US,,10,under 20,B2B; B2B; Developer Tools; Infrastructure; AI; Conversational AI; AI Assistant,yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
126,getzuma-com,Zuma,https://www.getzuma.com/,,Los Angeles,CA,,US,,50,20-99,B2B; B2B; B2B; Proptech; AI,yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
